oldEstId,n_distinct_estId,same_name_normalized,same_address_normalized,same_location_within_100m,time_ranges_sequential_non_overlapping,names_raw,addresses_raw
10464629,2,True,True,True,False,BALZAC'S COFFEE,789 Yonge St None M4W 2G8 ; 789 YONGE ST None M4W 2G8
10466133,2,True,True,True,False,KING GEORGE'S ARM,2501 Victoria Park Ave None M1T 1A1 ; 2501 VICTORIA PARK AVE None M1T 1A1
10466215,2,True,True,True,False,QI NATURAL FOOD,1001 Eglinton Ave W None M6C 2C7 ; 1001 EGLINTON AVE W None M6C 2C7
10468100,2,True,True,True,False,Smash Pit,"52 Carrier Dr Unit-1 M9W 5S5 ; 52 CARRIER DR, Unit-1 None M9W 5S5"
10469125,2,True,True,True,False,C4 Centre,"2644 Eglinton Ave E Unit-A M1K 2S3 ; 2644 EGLINTON AVE E, Unit-A None M1K 2S3"
10470129,2,False,True,True,False,SAIGON EXPRESS PHO ; SAIGON EXPRESS,"3070 Don Mills Rd E Unit-12A M2J 3C1 ; 3070 DON MILLS RD E, Unit-12A None M2J 3C1"
10472165,2,True,True,True,False,Petro Canada,1493 Finch Ave W None M3J 2G7 ; 1493 FINCH AVE W None M3J 2G7
10474730,2,True,True,True,False,XOLA,2222A Queen St E None M4E 1E9 ; 2222A QUEEN ST E None M4E 1E9
10475419,2,True,True,True,False,PHIPPS DESSERTS,1875 Leslie St None M3B 2M5 ; 1875 LESLIE ST None M3B 2M5
10475992,2,True,True,True,False,QOOLA FROZEN YOGURT BAR,4700 Keele St None M3J 1P3 ; 4700 KEELE ST None M3J 1P3
10476403,2,True,True,True,False,Pizza Depot,"2060 Ellesmere Rd Unit-8 M1H 2V6 ; 2060 ELLESMERE RD, Unit-8 None M1H 2V6"
10476446,2,True,True,True,False,St. Clair Variety,1713 St Clair Ave W None M6N 1J2 ; 1713 ST CLAIR AVE W None M6N 1J2
10476953,2,True,True,True,False,Etob Restaurant,379 Albion Rd None M9W 3P4 ; 379 ALBION RD None M9W 3P4
10478846,2,True,True,True,False,SIMONE'S CARIBBEAN REST.,596 Danforth Ave None M4K 1R1 ; 596 DANFORTH AVE None M4K 1R1
10480007,2,True,True,True,False,ALMARWA SUNRISE MEATS - FRESHCO,2650 Lawrence Ave E None M1P 2S1 ; 2650 LAWRENCE AVE E None M1P 2S1
10480182,2,True,True,True,False,PITA LITE,4910 Yonge St None M2N 5N5 ; 4910 YONGE ST None M2N 5N5
10480241,2,True,True,True,False,TIM HORTONS (Inside Mall),6464 Yonge St None M2M 3X4 ; 6464 YONGE ST None M2M 3X4
10480372,2,True,True,True,False,PUKKA,778 St Clair Ave W None M6C 1B6 ; 778 ST CLAIR AVE W None M6C 1B6
10480490,2,True,True,True,False,AXESS GIFT & CONVENIECE,2727 Jane St None M3L 1S3 ; 2727 JANE ST None M3L 1S3
10481889,2,True,True,True,False,THE BEECH TREE PUB,924 Kingston Rd None M4E 1S5 ; 924 KINGSTON RD None M4E 1S5
10482232,2,True,True,True,False,PANAGO PIZZA,188 Eglinton Ave E None M4P 2X7 ; 188 EGLINTON AVE E None M4P 2X7
10483082,2,True,True,True,False,SUBWAY,2555 St Clair Ave W None M6N 4Z5 ; 2555 ST CLAIR AVE W None M6N 4Z5
10484297,2,True,True,True,False,Chris Jerk Caribbean Bistro,"2570 Birchmount Rd Unit-11 M1T 2M5 ; 2570 BIRCHMOUNT RD, Unit-11 None M1T 2M5"
10486033,2,True,True,True,False,MISSION WORKS,1346 Queen St E None M4L 1C5 ; 1346 QUEEN ST E None M4L 1C5
10488755,2,True,True,True,False,Don Mills Cafe,"1440 Don Mills Rd Flr-2nd M3B 3P9 ; 1440 DON MILLS RD, Flr-2nd None M3B 3P9"
10490048,2,True,True,True,False,FRIEDMAN'S FRESH FISH,3025 Bathurst St None M6B 3B5 ; 3025 BATHURST ST None M6B 3B5
10490404,2,True,True,True,False,PEANUT PLAZA PASTRY SHOP,3064 Don Mills Rd E None None ; 3064 DON MILLS RD E None None
10492419,2,True,True,True,False,OS Amigos Restaurant & Cafe,335 Silverthorn Ave None M6N 3K5 ; 335 SILVERTHORN AVE None M6N 3K5
10494437,2,True,True,True,False,NORTH OF BROOKLYN PIZZERIA,469 Church St None M4Y 2C5 ; 469 CHURCH ST None M4Y 2C5
10495664,2,True,True,True,False,De Soto Eatery,1079 St Clair Ave W None M6E 1A6 ; 1079 ST CLAIR AVE W None M6E 1A6
10495992,2,True,True,True,False,JUICE HEADZ,1380 Don Mills Rd None M3B 2X2 ; 1380 DON MILLS RD None M3B 2X2
10496324,2,True,True,True,False,ELTE CAFE,80 Ronald Ave None M6E 5A2 ; 80 RONALD AVE None M6E 5A2
10497842,2,True,True,True,False,PAPE MARKET FOODLAND,623 Danforth Ave None M4K 1R2 ; 623 DANFORTH AVE None M4K 1R2
10498056,2,True,True,True,False,SPEEDWAY PUMP (HASTY MARKET),5455 Steeles Ave W None M9L 1S7 ; 5455 STEELES AVE W None M9L 1S7
10498189,2,True,True,True,False,Altawakkul Halal Foods,2820 Markham Rd None M1X 1E6 ; 2820 MARKHAM RD None M1X 1E6
10499947,2,True,True,True,False,BAKER AND SCONE,693 St Clair Ave W None M6C 1B2 ; 693 ST CLAIR AVE W None M6C 1B2
10501260,2,True,True,True,False,SHELL,3070 Dufferin St None M6A 2S6 ; 3070 DUFFERIN ST None M6A 2S6
10507288,2,False,True,True,False,SAN FRANCESCO ITALIAN SANDWICHES - FB 707 / 708 / 709 - CNE 2026 ; SAN FRANCESCO ITALIAN SANDWICHES - FB 707 - CNE 2025,2 Strachan Ave None M6K 3C3 ; 2 STRACHAN AVE None M6K 3C3
10507451,2,True,True,True,False,PROPELLER COFFEE CO.,50 Wade Ave None M6H 2Z3 ; 50 WADE AVE None M6H 2Z3
10507763,2,True,True,True,False,ST. TIMOTHY YMCA,25 Rochelle Cres None M2J 1Y3 ; 25 ROCHELLE CRES None M2J 1Y3
10509150,2,True,True,True,False,Deer Garden Signatures,633 Silver Star Blvd None M1V 5N1 ; 633 SILVER STAR BLVD None M1V 5N1
10509273,2,True,True,True,False,NANALYN JERK,564 Wilson Heights Blvd None M3H 2V8 ; 564 WILSON HEIGHTS BLVD None M3H 2V8
10509710,2,True,True,True,False,JANE VARIETY & GIFTS,2721 Jane St None M3L 1S3 ; 2721 JANE ST None M3L 1S3
10511631,2,True,True,True,False,FOREST MANOR YMCA - BEFORE AND AFTER SCHOOL PROGRAM,25 Forest Manor Rd None M2J 1M4 ; 25 FOREST MANOR RD None M2J 1M4
10512464,2,True,True,True,False,7-Eleven,1169 St Clair Ave W None M6E 1B2 ; 1169 ST CLAIR AVE W None M6E 1B2
10512731,2,True,True,True,False,Istanbul Café & Espresso Bar Corp,174 Eglinton Ave E None M4P 1A6 ; 174 EGLINTON AVE E None M4P 1A6
10513494,2,True,True,True,False,SUBWAY,1856 Avenue Rd None M5M 3Z5 ; 1856 AVENUE RD None M5M 3Z5
10514516,2,True,True,True,False,KEBAB 49,5308 Dundas St W None M9B 1B3 ; 5308 DUNDAS ST W None M9B 1B3
10515445,2,True,True,True,False,PARKDALE BREAKFAST BAR & GRILL,1449 Queen St W None M6R 1A1 ; 1449 QUEEN ST W None M6R 1A1
10518192,2,True,True,True,False,IL PONTE,"625 Queen St E Unit-107 M4M 1G7 ; 625 QUEEN ST E, Unit-107 None M4M 1G7"
10518830,2,True,True,True,False,XELUA VIETNAMESE CUISINE,157 Ravel Rd None M2H 1T1 ; 157 RAVEL RD None M2H 1T1
10519116,2,True,True,True,False,SALAD DAYS,2 Bloor St E None M4W 1A8 ; 2 BLOOR ST E None M4W 1A8
10519211,2,True,True,True,False,FRESH FRUIT MARKET,699 College St None M6G 1B9 ; 699 COLLEGE ST None M6G 1B9
10520311,2,True,True,True,False,COCO FRESH TEA AND JUICE,17B Finch Ave W None M2N 7K4 ; 17B FINCH AVE W None M2N 7K4
10521279,2,True,True,True,False,CHINA GOURMET,235 Carlton St None M5A 2L2 ; 235 CARLTON ST None M5A 2L2
10522280,2,True,True,True,False,TIM HORTONS,2480 Gerrard St E None M1N 4C3 ; 2480 GERRARD ST E None M1N 4C3
10524383,2,True,True,True,False,SUBWAY,268 Dupont St None M5R 1V7 ; 268 DUPONT ST None M5R 1V7
10525017,2,True,True,True,False,Subhan Pizza & Chicken,2970 Danforth Ave None M4C 1M6 ; 2970 DANFORTH AVE None M4C 1M6
